,basementsqft,bathroomcnt,bedroomcnt,calculatedbathnbr,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,propertycountylandusecode,propertyzoningdesc,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,threequarterbathnbr,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,logerror,transactiondate,year,propertylandusedesc,storydesc,typeconstructiondesc,airconditioningdesc,buildingclassdesc,heatingorsystemdesc
18,,2.0,3.0,2.0,,1321.0,1321.0,,,,,6059.0,,2.0,2.0,462.0,,33770148.0,-118021281.0,7200.0,,,122,,34780.0,1286.0,,96990.0,6.0,,,,,1957.0,1.0,,75119.0,253138.0,2015.0,178019.0,3329.14,,,60590999021008.0,-0.002,2016-01-03,2016,Single Family Residential,,,,,
19,,3.0,3.0,3.0,,1727.0,1727.0,,,,,6037.0,,3.0,,,,34164085.0,-118528595.0,6171.0,,,0100,LAR1,12447.0,3101.0,47950.0,96379.0,0.0,,1.0,,,1950.0,,,108985.0,416279.0,2015.0,307294.0,5194.0,,,60371395021007.0,0.01,2016-01-03,2016,Single Family Residential,,,Central,,Central
20,,1.0,2.0,1.0,,840.0,840.0,,,,,6037.0,,1.0,,,,33858594.0,-118188672.0,4444.0,,,0100,LBR1N,46298.0,3101.0,276476.0,96239.0,0.0,,1.0,,,1927.0,,,122952.0,260249.0,2015.0,137297.0,3211.31,,,60375703031007.0,-0.0387,2016-01-03,2016,Single Family Residential,,,,,Floor/Wall
21,,2.0,2.0,2.0,,1476.0,1476.0,,,,,6059.0,1.0,2.0,2.0,437.0,,33754729.0,-117838936.0,4275.0,,,122,,47568.0,1286.0,,97001.0,5.0,,,,,1976.0,1.0,,109293.0,258960.0,2015.0,149667.0,3090.72,,,60590754031010.0,0.0218,2016-01-03,2016,Single Family Residential,,,Yes,,
22,,2.0,4.0,2.0,,1430.0,1430.0,,,,,6059.0,1.0,2.0,2.0,441.0,,33784649.0,-118025454.0,6000.0,,,122,,24832.0,1286.0,,97052.0,7.0,,,,,1962.0,1.0,,92991.0,212077.0,2015.0,119086.0,3020.24,,,60591100032002.0,0.0149,2016-01-03,2016,Single Family Residential,,,,,
23,,4.0,3.0,4.0,,3749.0,3749.0,,,,,6037.0,,4.0,,,1.0,33969828.0,-118396647.0,10926.0,,,0104,LAR1,12447.0,3101.0,7877.0,96026.0,0.0,,1.0,,,1952.0,,,319449.0,1194279.0,2015.0,874830.0,14747.98,,,60372770005008.0,0.1151,2016-01-03,2016,Single Family Residential,,,,,Central
24,,2.5,2.0,2.5,,1213.0,1213.0,,,,,6059.0,,2.0,2.0,401.0,,33773334.0,-117921597.0,1665.0,,,122,,24832.0,1286.0,,97050.0,0.0,1.0,,,,1998.0,,,157171.0,335790.0,2015.0,178619.0,4269.9,,,60590885012000.0,-0.1696,2016-01-03,2016,Single Family Residential,,,,,
25,,4.0,3.0,4.0,,1875.0,1875.0,,,,,6037.0,,4.0,,,,33901561.0,-118009610.0,8247.0,,,0100,LMR1*,5465.0,3101.0,,96190.0,0.0,,1.0,,,1955.0,,,154186.0,239456.0,2015.0,85270.0,3249.37,,,60375038023004.0,-0.044000000000000004,2016-01-03,2016,Single Family Residential,,,Central,,Central
26,,2.0,2.0,2.0,,1302.0,1302.0,,,,,6037.0,,2.0,,,,34598115.0,-118154873.0,6676.0,,,0100,PDRPD6.6U*,40227.0,3101.0,,97329.0,0.0,,1.0,,,1986.0,,,80600.0,174000.0,2015.0,93400.0,3895.76,,,60379102081016.0,-0.0747,2016-01-03,2016,Single Family Residential,,,Central,,Central
27,,2.5,2.0,2.5,,1858.0,1858.0,,,,,6059.0,,2.0,1.0,0.0,,33486586.0,-117722058.0,,1.0,,34,,17686.0,1286.0,,96961.0,5.0,1.0,,,,1973.0,2.0,1.0,145291.0,825000.0,2015.0,679709.0,9553.56,,,60590423242006.0,0.008,2016-01-03,2016,Condominium,,Frame,,,Forced air
28,,2.0,2.0,2.0,,1045.0,1045.0,,,,,6037.0,,2.0,,,,34167800.0,-118522000.0,43599.0,1.0,,010E,LAR3,12447.0,3101.0,51906.0,96349.0,0.0,,1.0,,,1966.0,,,135218.0,250245.0,2015.0,115027.0,3117.19,,,60371395041001.0,0.001,2016-01-03,2016,Condominium,,,Central,,Central
29,,3.0,2.0,3.0,,1329.0,1329.0,,,,,6037.0,,3.0,,,,33780400.0,-118141000.0,8051.0,,,010C,LBR4N,46298.0,3101.0,273567.0,96238.0,0.0,,1.0,,,1983.0,,,117504.0,215097.0,2015.0,97593.0,2648.96,,,60375770005003.0,-0.0534,2016-01-03,2016,Condominium,,,,,Central
30,,2.0,4.0,2.0,,1144.0,1144.0,,,,,6037.0,,2.0,,,,34418207.0,-118468958.0,5633.0,1.0,,0100,SCUR2,54311.0,3101.0,37739.0,96374.0,0.0,,1.0,,,1961.0,,,176891.0,335093.0,2015.0,158202.0,4499.03,,,60379200352005.0,-0.0398,2016-01-03,2016,Single Family Residential,,,,,Central
31,,2.0,2.0,2.0,,1422.0,1422.0,,,,,6037.0,,2.0,,,,34057039.0,-118403959.0,6391.0,,,010C,LAR3,10389.0,3101.0,,96088.0,0.0,,1.0,,,1981.0,,,202000.0,673000.0,2015.0,471000.0,8048.18,,,60372690004005.0,-0.0294,2016-01-03,2016,Condominium,,,Central,,Central
32,,2.0,3.0,2.0,,1631.0,1631.0,,,,,6037.0,,2.0,,,,33815675.0,-118098715.0,5646.0,1.0,,0101,LBR1N,46298.0,3101.0,416320.0,96242.0,0.0,,1.0,,,1953.0,,,176825.0,334392.0,2015.0,157567.0,4128.58,,,60375740004006.0,0.0208,2016-01-03,2016,Single Family Residential,,,,,Floor/Wall
33,,2.0,3.0,2.0,,1782.0,1782.0,,,,,6037.0,,2.0,,,,34108082.0,-118278299.0,5999.0,,,0100,LAR1,12447.0,3101.0,274359.0,96008.0,0.0,,1.0,,,1927.0,,,139259.0,473801.0,2015.0,334542.0,5832.19,,,60371952021001.0,-0.0233,2016-01-03,2016,Single Family Residential,,,Central,,Central
34,,3.0,3.0,3.0,,1847.0,1847.0,,,,,6037.0,,3.0,,,,34249528.0,-118418103.0,7799.0,,,0100,LAR1,12447.0,3101.0,40215.0,96361.0,0.0,,1.0,,,1953.0,,,111929.0,325129.0,2015.0,213200.0,4172.08,,,60371048212002.0,0.0266,2016-01-03,2016,Single Family Residential,,,,,Floor/Wall
35,,1.0,3.0,1.0,,1420.0,1420.0,,,,,6037.0,,1.0,,,,34207182.0,-118524994.0,9045.0,,,0100,LAR1,12447.0,3101.0,40548.0,96364.0,0.0,,1.0,,,1948.0,,,52254.0,261169.0,2015.0,208915.0,3398.7,,,60371318001006.0,-0.0222,2016-01-03,2016,Single Family Residential,,,,,Floor/Wall
36,,2.0,4.0,2.0,,1202.0,1202.0,,,,,6059.0,,2.0,2.0,400.0,,33712676.0,-117877567.0,6500.0,1.0,,122,,47568.0,1286.0,268509.0,97007.0,8.0,,,,,1955.0,1.0,,62646.0,394474.0,2015.0,331828.0,6004.62,,,60590740051012.0,-0.0274,2016-01-03,2016,Single Family Residential,,,,,
37,,2.0,4.0,2.0,,2319.0,2319.0,,,,,6059.0,1.0,2.0,3.0,775.0,,33898715.0,-117774467.0,9760.0,,,122,,21412.0,1286.0,,97078.0,8.0,,,,,1979.0,1.0,,181956.0,584027.0,2015.0,402071.0,7186.5,,,60590218242004.0,-0.001,2016-01-03,2016,Single Family Residential,,,Yes,,
38,,1.0,2.0,1.0,,640.0,640.0,,,,,6037.0,,1.0,,,,33905332.0,-118152452.0,4376.0,,,0100,PAR1YY,6395.0,3101.0,,96220.0,0.0,,1.0,,,1946.0,,,44834.0,182891.0,2015.0,138057.0,2481.35,,,60375535041005.0,0.0526,2016-01-03,2016,Single Family Residential,,,,,Floor/Wall
39,,2.0,3.0,2.0,,1431.0,1431.0,,,,,6059.0,,2.0,1.0,380.0,,33713536.0,-117885964.0,6000.0,,,122,,47568.0,1286.0,275738.0,97004.0,6.0,,,,,1965.0,1.0,,39774.0,62084.0,2015.0,22310.0,1047.38,,,60590741113000.0,-0.0481,2016-01-03,2016,Single Family Residential,,,,,
40,,3.0,3.0,3.0,,2580.0,2580.0,,,,,6037.0,,3.0,,,,34137349.0,-118085380.0,31642.0,1.0,,0101,PSR2,47019.0,3101.0,275426.0,96295.0,0.0,,1.0,,,1948.0,,,90352.0,143162.0,2015.0,52810.0,2108.01,,,60374632002014.0,0.0411,2016-01-03,2016,Single Family Residential,,,,,Central
41,,2.0,4.0,2.0,,1540.0,1540.0,,,,,6059.0,1.0,2.0,2.0,440.0,,33672511.0,-117977049.0,6441.0,,,122,,25218.0,1286.0,,96964.0,7.0,,,,,1972.0,1.0,,44904.0,71436.0,2015.0,26532.0,1125.42,,,60590992461010.0,0.0237,2016-01-03,2016,Single Family Residential,,,,,
42,,2.5,3.0,2.5,,1963.0,1963.0,,,,,6059.0,,2.0,2.0,482.0,,33787439.0,-117768395.0,5000.0,,,122,,33252.0,1286.0,,97067.0,0.0,1.0,,,,1987.0,,,183748.0,315989.0,2015.0,132241.0,4215.48,,,60590756052012.0,-0.006,2016-01-03,2016,Single Family Residential,,,,,
43,,2.0,4.0,2.0,,1150.0,1150.0,,,,,6037.0,,2.0,,,,34280213.0,-118407194.0,7552.0,,,0100,LAR1,12447.0,3101.0,40215.0,96361.0,0.0,,1.0,,,1956.0,,,101800.0,330000.0,2015.0,228200.0,4205.43,,,60371042031001.0,0.0411,2016-01-03,2016,Single Family Residential,,,,,Central
44,,1.0,3.0,1.0,,1457.0,1457.0,,,,,6037.0,,1.0,,,,34009266.0,-118313092.0,6358.0,,,0100,LAR1,12447.0,3101.0,118208.0,96043.0,0.0,,1.0,,,1912.0,,,28576.0,119375.0,2015.0,90799.0,3668.14,,,60372315003003.0,-0.091,2016-01-03,2016,Single Family Residential,,,,,
45,,3.0,4.0,3.0,,2401.0,2401.0,,,,,6059.0,,3.0,2.0,440.0,,33802797.0,-117970382.0,3464.0,,,1,,24832.0,1286.0,,97048.0,0.0,,,,,2005.0,,,322700.0,526272.0,2015.0,203572.0,6517.74,,,60590880021003.0,0.045,2016-01-03,2016,Single Family Residential,,,,,
46,,4.0,5.0,4.0,,3623.0,3623.0,,,,,6037.0,,4.0,,,,34156052.0,-118567668.0,14186.0,1.0,,0101,LARE40,12447.0,3101.0,48570.0,96387.0,0.0,,1.0,,,1972.0,,,279000.0,1151000.0,2015.0,872000.0,15264.65,,,60371375041000.0,0.0402,2016-01-03,2016,Single Family Residential,,,Central,,Central
47,,5.0,4.0,5.0,,4537.0,4537.0,,,,,6059.0,,5.0,2.0,595.0,,33588878.0,-117684797.0,14950.0,1.0,,122,,25458.0,1286.0,,96971.0,8.0,,,,,1980.0,2.0,,386620.0,961905.0,2015.0,575285.0,10009.0,,,60590423281011.0,0.045,2016-01-03,2016,Single Family Residential,,,Yes,,
48,,2.0,3.0,2.0,,1250.0,1250.0,,,,,6037.0,,2.0,,,,34094940.0,-118180746.0,7513.0,,,0100,LAR1,12447.0,3101.0,114914.0,96013.0,0.0,,1.0,,,1955.0,,,55039.0,208692.0,2015.0,153653.0,5523.8,,,60372013021002.0,-0.0367,2016-01-03,2016,Single Family Residential,,,,,Central
49,,2.0,4.0,2.0,,2054.0,2054.0,,,,,6037.0,,2.0,,,,33993442.0,-117819432.0,7763.0,1.0,,0101,LCR18000*,24384.0,3101.0,,96505.0,0.0,,1.0,,,1970.0,,,220413.0,300987.0,2015.0,80574.0,3754.82,,,60374033233021.0,-0.0408,2016-01-03,2016,Single Family Residential,,,,,Central
50,,1.0,3.0,1.0,,1164.0,1164.0,,,,,6037.0,,1.0,,,,34045914.0,-117771124.0,6981.0,1.0,,0101,POR16000*,20008.0,3101.0,,96506.0,0.0,,1.0,,,1947.0,,,49283.0,163936.0,2015.0,114653.0,2245.93,,,60374030003006.0,0.0159,2016-01-03,2016,Single Family Residential,,,,,Floor/Wall
51,,3.0,4.0,3.0,,2590.0,2590.0,,,,,6037.0,,3.0,,,,34068726.0,-117823313.0,13110.0,1.0,,0100,SDSFH*,33836.0,3101.0,,96513.0,0.0,,1.0,,,1988.0,,,326000.0,905100.0,2015.0,579100.0,10583.55,,,60374013031011.0,0.006,2016-01-03,2016,Single Family Residential,,,Central,,Central
52,,2.0,3.0,2.0,,1362.0,1362.0,,,,,6059.0,,2.0,2.0,462.0,,33712715.0,-117939175.0,5100.0,,,122,,8384.0,1286.0,,97008.0,7.0,,,,,1968.0,1.0,,87166.0,324796.0,2015.0,237630.0,3767.14,,,60590992291008.0,-0.0171,2016-01-03,2016,Single Family Residential,,,,,
53,,2.5,2.0,2.5,,1381.0,1381.0,,,,,6059.0,,2.0,1.0,0.0,,33881039.0,-117966474.0,,,,34,,24812.0,1286.0,,97041.0,0.0,1.0,,,,1983.0,,,137169.0,221868.0,2015.0,84699.0,2706.62,,,60591106053003.0,0.0344,2016-01-03,2016,Condominium,,,,,
54,,5.5,5.0,5.5,,5516.0,5516.0,,,,,6059.0,,5.0,3.0,753.0,1.0,33610427.0,-117901101.0,6591.0,,,122,,53571.0,1286.0,,96978.0,6.0,1.0,,,,1994.0,3.0,,1317184.0,5754844.0,2015.0,4437660.0,61668.88,,,60590630051005.0,0.0639,2016-01-03,2016,Single Family Residential,,,,,
55,,2.0,2.0,2.0,,1137.0,1137.0,,,,,6037.0,,2.0,,,,33865271.0,-118397145.0,7965.0,,,010C,HBR3YY,29712.0,3101.0,,96109.0,0.0,,1.0,,,1989.0,,,211236.0,450376.0,2015.0,239140.0,5034.94,,,60376210042002.0,0.0639,2016-01-03,2016,Condominium,,,,,Central
56,,4.0,5.0,4.0,,3088.0,,,3088.0,,,6037.0,,4.0,,,,34022328.0,-118386706.0,5934.0,,,0200,CCR2YY,51617.0,3101.0,762187.0,96097.0,0.0,,2.0,,,1964.0,,,173092.0,548138.0,2015.0,375046.0,7931.14,,,60377024001007.0,0.0573,2016-01-03,2016,"Duplex (2 Units, Any Combination)",,,,,
57,,2.5,3.0,2.5,,1808.0,1808.0,,,,,6059.0,,2.0,2.0,441.0,,33657752.0,-117674984.0,5000.0,,,122,,32380.0,1286.0,,96962.0,7.0,1.0,,,,1981.0,2.0,,140093.0,478656.0,2015.0,338563.0,5122.14,,,60590524253000.0,0.0276,2016-01-03,2016,Single Family Residential,,,Yes,,
58,,2.0,2.0,2.0,,1084.0,1084.0,,,,,6037.0,,2.0,,,,33962616.0,-118360632.0,5005.0,,,0100,INR4*,45888.0,3101.0,,96133.0,0.0,,1.0,,,1923.0,,,84730.0,129113.0,2015.0,44383.0,2054.31,,,60376012112006.0,-0.1497,2016-01-03,2016,Single Family Residential,,,,,Floor/Wall
59,,2.0,2.0,2.0,,991.0,991.0,,,,,6037.0,,2.0,,,,34139900.0,-118232000.0,29725.0,1.0,,010E,,45457.0,3101.0,275396.0,96324.0,0.0,,1.0,,,1974.0,,,82173.0,108255.0,2015.0,26082.0,1186.52,,,60373021021002.0,0.076,2016-01-04,2016,Condominium,,,Central,,Central
60,,2.0,4.0,2.0,,1445.0,1445.0,,,,,6059.0,,2.0,2.0,440.0,,33739359.0,-117960160.0,6000.0,,,122,,34780.0,1286.0,,96990.0,7.0,,,,,1963.0,1.0,,41819.0,62165.0,2015.0,20346.0,1215.46,,,60590992232005.0,-0.0481,2016-01-04,2016,Single Family Residential,,,,,
61,,3.0,4.0,3.0,,2497.0,2497.0,,,,,6037.0,,3.0,,,,33720475.0,-118320259.0,11425.0,,,0100,LAR1,12447.0,3101.0,54300.0,96222.0,0.0,,1.0,,,1961.0,,,82926.0,442308.0,2015.0,359382.0,5819.38,,,60372974002019.0,0.2119,2016-01-04,2016,Single Family Residential,,,,,Central
62,,2.0,2.0,2.0,,1110.0,1110.0,,,,,6059.0,,2.0,1.0,0.0,,33647048.0,-117590608.0,,,,34,,15554.0,1286.0,,96993.0,0.0,,,,,1989.0,,,125203.0,241654.0,2015.0,116451.0,3157.3,,,60590320513005.0,0.0109,2016-01-04,2016,Condominium,,,,,
63,,2.0,3.0,2.0,,1537.0,1537.0,,,,,6037.0,,2.0,,,,34081552.0,-117874511.0,8336.0,,,0100,CVR17500*,24245.0,3101.0,,96474.0,0.0,,1.0,,,1960.0,,,87965.0,325361.0,2015.0,237396.0,4234.82,,,60374036004015.0,-0.001,2016-01-04,2016,Single Family Residential,,,,,Central
64,,2.0,2.0,2.0,,1344.0,1344.0,,,,,6059.0,,2.0,2.0,0.0,,33842977.0,-117787958.0,,,,34,,16764.0,1286.0,113455.0,97026.0,0.0,,,,,1979.0,,,133631.0,418161.0,2015.0,284530.0,4727.78,,,60590219161011.0,0.0,2016-01-04,2016,Condominium,,,,,
65,,4.0,3.0,4.0,,2044.0,2044.0,,,,,6037.0,,4.0,,,,34082400.0,-118254000.0,,,,0100,LARD2,12447.0,3101.0,268134.0,96007.0,0.0,,1.0,,,2015.0,,,233200.0,326018.0,2015.0,92818.0,4082.32,,,,-0.0576,2016-01-04,2016,Single Family Residential,,,Central,,Central
66,,2.5,2.0,2.5,,1206.0,1206.0,,,,,6059.0,,2.0,2.0,0.0,,33687327.0,-117744160.0,,,,1,,52650.0,1286.0,403197.0,96952.0,0.0,1.0,,,,2010.0,,,175451.0,444915.0,2015.0,269464.0,7314.1,,,60590524184001.0,-0.0356,2016-01-04,2016,Condominium,,,,,
67,,2.5,2.0,2.5,682.0,1591.0,1591.0,,,682.0,,6111.0,1.0,2.0,2.0,0.0,,34270500.0,-118673000.0,,,,1129,,27110.0,2061.0,,97116.0,4.0,1.0,,54.0,,1981.0,2.0,,177000.0,356000.0,2015.0,179000.0,4035.16,,,61110083041003.0,0.0227,2016-01-04,2016,Condominium,,,,,
68,,3.0,3.0,3.0,,1302.0,1302.0,,,,,6037.0,,3.0,,,,34150900.0,-118379000.0,10634.0,,,010C,LARD1.5,12447.0,3101.0,47880.0,96447.0,0.0,,1.0,,,1981.0,,,144179.0,270803.0,2015.0,126624.0,3394.54,,,60371432003001.0,0.001,2016-01-04,2016,Condominium,,,Central,,Central
69,,2.0,3.0,2.0,,1426.0,1426.0,,,,,6037.0,,2.0,,,,34201842.0,-118319180.0,6603.0,1.0,,0101,BUR1*,396054.0,3101.0,,96436.0,0.0,,1.0,,,1951.0,,,72653.0,399435.0,2015.0,326782.0,4464.97,,,60373101001008.0,-0.006,2016-01-04,2016,Single Family Residential,,,,,Floor/Wall
70,,2.0,3.0,2.0,,1973.0,1973.0,,,,,6059.0,,2.0,1.0,350.0,,33770360.0,-117817767.0,9280.0,1.0,,122,,40081.0,1286.0,,97005.0,6.0,,,,,1954.0,1.0,,57046.0,81459.0,2015.0,24413.0,4109.38,,,60590757032008.0,-0.0253,2016-01-04,2016,Single Family Residential,,,,,
71,,2.0,3.0,2.0,,2399.0,2399.0,,,,,6037.0,,2.0,,,,34641210.0,-118179196.0,109502.0,,,0100,LCA22*,40227.0,3101.0,,97329.0,0.0,,1.0,,,1978.0,,,249987.0,312483.0,2015.0,62496.0,4050.18,,,60379102021020.0,-0.0523,2016-01-04,2016,Single Family Residential,,,Central,,Central
72,,2.0,2.0,2.0,,1536.0,1536.0,,,,,6037.0,,2.0,,,,34131574.0,-118811986.0,5709.0,,,0700,WVRR1-RPD1,41673.0,3101.0,,96384.0,0.0,,1.0,,,1975.0,,,59070.0,338316.0,2015.0,279246.0,3550.56,,,60378003262005.0,0.1467,2016-01-04,2016,Mobile Home,,,,,
73,,2.0,4.0,2.0,,2036.0,2036.0,,,,,6037.0,,2.0,,,,34082983.0,-117845056.0,14314.0,,,0100,LCA110000*,24245.0,3101.0,,96475.0,0.0,,1.0,,,1974.0,,,97282.0,116431.0,2015.0,19149.0,7565.6,,,60374013041011.0,0.0109,2016-01-04,2016,Single Family Residential,,,Central,,Central
74,,1.5,3.0,1.5,956.0,956.0,956.0,,,956.0,,6111.0,,1.0,1.0,360.0,,34190785.0,-118866604.0,9840.0,,,1111,,34278.0,2061.0,,96383.0,5.0,1.0,,364.0,,1962.0,1.0,,109228.0,168036.0,2015.0,58808.0,1851.24,,,61110068002010.0,0.0296,2016-01-04,2016,Single Family Residential,,,,,
